NOAM_type,NOCS_type,NOM_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,number_private_visibility_attributes,number_protected_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_not_abstract_not_final_methods,number_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,is_god_class
0.0,0.0,2.0,0.0,0.0,2.0,4.0,30.0,18.0,18.0,0.0,1.0,5.0,48.0,4.0,0.5,0.333333,4.0,2.0,2.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
0.0,0.0,7.0,2.0,1.0,7.0,3.0,32.0,34.0,34.0,2.0,1.0,5.0,57.0,7.0,1.0,0.571429,7.0,1.0,1.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,32.0,4.0,4.0,0.0,1.0,5.0,49.0,1.0,0.0,0.333333,1.0,1.0,1.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,4.0,0.0,2.0,4.0,1.0,32.0,35.0,35.0,3.0,1.0,5.0,53.0,8.0,1.0,0.5,8.0,2.0,2.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0
0.0,0.0,2.0,4.0,2.0,2.0,1.0,25.0,16.0,16.0,3.0,0.0,5.0,41.0,3.0,1.0,0.5,3.0,1.5,1.5,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0
0.0,0.0,4.0,1.0,3.0,4.0,3.0,31.0,43.0,43.0,10.0,1.0,6.0,53.0,11.0,1.0,0.5,11.0,2.75,2.75,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0
0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,4.0,7.0,0.333333,1.0,7.0,1.75,1.75,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0
0.0,0.0,3.0,0.0,1.0,3.0,1.0,32.0,24.0,24.0,2.0,1.0,5.0,52.0,4.0,1.0,0.666667,4.0,1.333333,1.333333,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,5.0,3.0,6.0,1.0,30.0,44.0,44.0,5.0,0.2,7.0,52.0,14.0,0.6,1.0,14.0,2.333333,2.333333,20.0,72.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,7.0,6.0,0.0
