NOP_method,LOC_method,NOLV_method,NOAV_method,NOM_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,is_long_parameters_list
0.0,8.0,0.0,6.0,16.0,3.0,9.0,12.0,-1.0,221.0,172.0,406.0,0.177777778,9.0,34.0,29.0,0.9611111109999999,-1.0,18.0,1.8125,2.0,6.0,9.0,229.0,16.0,0.0
0.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,16.0,16.0,0.0,1.0,0.0,3.0,3.0,0.5,1.0,3.0,1.0,1.0,38.0,198.0,4223.0,240.0,0.0
1.0,2.0,1.0,1.0,123.0,138.0,94.0,108.0,77.0,1957.0,1669.0,51801.0,0.012612613,145.0,571.0,273.0,0.9921068609999999,0.404145078,234.0,2.219512195,2.489361702,38.0,198.0,4223.0,240.0,0.0
0.0,1.0,0.0,0.0,92.0,0.0,71.0,5.0,-1.0,288.0,206.0,0.0,0.0,15.0,92.0,92.0,1.010989011,0.0,71.0,1.0,1.0,34.0,523.0,6037.0,728.0,0.0
1.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,1.0,1.0,34.0,523.0,6037.0,728.0,0.0
1.0,1.0,1.0,0.0,18.0,0.0,18.0,0.0,-1.0,40.0,40.0,0.0,0.0,2.0,18.0,18.0,0.0,0.0,18.0,1.0,1.0,34.0,523.0,6037.0,728.0,0.0
0.0,3.0,0.0,0.0,8.0,12.0,8.0,2.0,15.0,132.0,132.0,386.0,0.47619047600000003,14.0,45.0,21.0,0.7857142859999999,1.0,21.0,2.625,2.625,74.0,380.0,5031.0,435.0,0.0
1.0,3.0,1.0,0.0,4.0,2.0,4.0,1.0,0.0,31.0,31.0,16.0,0.0,2.0,6.0,4.0,1.0,1.0,4.0,1.0,1.0,74.0,380.0,5031.0,435.0,0.0
2.0,13.0,4.0,7.0,3.0,1.0,3.0,3.0,0.0,33.0,33.0,20.0,1.0,2.0,5.0,5.0,1.166666667,0.5,5.0,1.6666666669999999,1.6666666669999999,74.0,380.0,5031.0,435.0,0.0
2.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,-1.0,7.0,-2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,18.0,108.0,1339.0,136.0,0.0
0.0,3.0,0.0,1.0,17.0,4.0,15.0,6.0,0.0,235.0,220.0,346.0,0.090909091,4.0,32.0,59.0,0.916666667,0.7777777779999999,56.0,3.470588235,3.733333333,59.0,322.0,6298.0,410.0,0.0
0.0,2.0,0.0,1.0,17.0,4.0,15.0,6.0,0.0,235.0,220.0,346.0,0.090909091,4.0,32.0,59.0,0.916666667,0.7777777779999999,56.0,3.470588235,3.733333333,59.0,322.0,6298.0,410.0,0.0
1.0,3.0,1.0,1.0,8.0,3.0,8.0,0.0,65.0,128.0,128.0,117.0,0.0,14.0,65.0,18.0,0.0,1.0,18.0,2.25,2.25,8.0,28.0,396.0,32.0,0.0
0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,23.0,18.0,0.0,0.0,1.0,5.0,5.0,0.0,0.8,4.0,1.0,1.0,30.0,76.0,1343.0,128.0,0.0
0.0,5.0,2.0,5.0,9.0,24.0,7.0,31.0,538.0,628.0,613.0,620.0,0.0,14.0,51.0,23.0,1.0443548390000001,0.666666667,21.0,2.555555556,3.0,23.0,60.0,1234.0,72.0,0.0
