ATFD_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,CDISP_method,NOM_type,ATFD_type,FANOUT_type,NOMNAMM_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,is_switch_statements
0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,0.5,7.0,1.0,3.0,5.0,-1.0,53.0,39.0,55.0,0.1,4.0,13.0,8.0,0.916666667,-1.0,6.0,1.142857143,1.2,7.0,47.0,439.0,53.0,0.0
0.0,2.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,4.0,10.0,22.0,111.0,377.0,310.0,1214.0,0.057142857000000005,32.0,208.0,61.0,0.943965517,0.681818182,51.0,2.0333333330000003,2.3181818180000002,38.0,198.0,4223.0,240.0,0.0
0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,38.0,198.0,4223.0,240.0,0.0
0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,0.0,-1.0,1.0,1.0,1.0,18.0,102.0,1212.0,120.0,0.0
0.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,10.0,14.0,8.0,197.0,179.0,640.0,0.305555556,10.0,41.0,31.0,0.855555556,1.0,28.0,1.9375,2.0,4.0,27.0,516.0,29.0,0.0
0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,6.0,4.0,0.0,66.0,44.0,77.0,0.5,9.0,18.0,10.0,0.75,0.75,8.0,2.0,2.0,17.0,82.0,906.0,90.0,0.0
0.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,129.0,22.0,25.0,72.0,-1.0,1243.0,834.0,11362.0,0.028635682000000003,28.0,207.0,269.0,0.9859730109999999,-1.0,178.0,2.085271318,2.472222222,34.0,523.0,6037.0,728.0,0.0
0.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,9.0,9.0,3.0,1.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,34.0,523.0,6037.0,728.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,64.0,-1.0,225.0,202.0,0.0,0.0,13.0,68.0,68.0,1.014925373,0.0,64.0,1.0,1.0,34.0,523.0,6037.0,728.0,0.0
0.0,2.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,4.0,14.0,71.0,0.0,1327.0,1327.0,1192.0,0.000426257,8.0,96.0,186.0,1.0,0.971830986,186.0,2.61971831,2.61971831,50.0,388.0,8258.0,437.0,0.0
