NOM_type,LOC_type,LOCNAMM_type,TCC_type,RFC_type,WMC_type,LCOM5_type,AMW_type,NOMNAMM_package,LOC_package,NOM_package,number_not_abstract_not_final_methods,number_not_final_not_static_methods,is_data_class
9.0,177.0,161.0,0.535714,9.0,31.0,0.953571,3.4444440000000003,30.0,1005.0,38.0,9.0,8.0,0.0
1.0,42.0,42.0,1.0,1.0,7.0,0.0,7.0,16.0,197.0,16.0,2.0,2.0,0.0
47.0,1008.0,965.0,0.398671,115.0,122.0,0.917391,2.595745,289.0,2130.0,306.0,47.0,47.0,1.0
11.0,83.0,43.0,0.14285699999999998,11.0,11.0,0.9,1.0,154.0,4404.0,202.0,11.0,11.0,1.0
1.0,17.0,1.0,1.0,1.0,2.0,0.0,2.0,1378.0,36313.0,1878.0,1.0,1.0,0.0
11.0,1257.0,1248.0,1.0,43.0,293.0,0.722222,26.636364,1184.0,31219.0,1423.0,11.0,11.0,0.0
43.0,1958.0,1958.0,0.333333,210.0,251.0,0.94958,5.837209,166.0,5176.0,173.0,43.0,43.0,0.0
105.0,1950.0,1339.0,0.04601,154.0,263.0,0.9930469999999999,2.504762,592.0,13290.0,817.0,105.0,89.0,0.0
15.0,147.0,53.0,0.21978000000000003,21.0,17.0,0.867347,1.133333,196.0,3478.0,218.0,15.0,15.0,1.0
7.0,21.0,3.0,0.2,7.0,7.0,0.833333,1.0,197.0,3877.0,376.0,7.0,7.0,0.0
8.0,81.0,39.0,0.2,8.0,8.0,0.857143,1.0,63.0,2505.0,75.0,8.0,8.0,0.0
6.0,24.0,24.0,0.2,6.0,6.0,0.8,1.0,23.0,423.0,87.0,7.0,7.0,0.0
7.0,21.0,3.0,0.2,7.0,7.0,0.833333,1.0,197.0,3877.0,376.0,7.0,7.0,1.0
8.0,100.0,64.0,0.380952,19.0,13.0,0.8857139999999999,1.625,56.0,1645.0,81.0,8.0,8.0,0.0
8.0,47.0,47.0,0.14285699999999998,8.0,8.0,0.857143,1.0,26.0,817.0,116.0,9.0,9.0,0.0
8.0,49.0,25.0,0.14285699999999998,8.0,8.0,0.857143,1.0,14.0,419.0,21.0,9.0,9.0,1.0
1.0,13.0,13.0,1.0,42.0,1.0,0.0,1.0,71.0,1801.0,106.0,1.0,1.0,0.0
18.0,1172.0,1172.0,0.461538,71.0,238.0,0.894958,13.222222,399.0,14229.0,466.0,18.0,0.0,0.0
31.0,287.0,44.0,0.045977,37.0,35.0,0.9595239999999999,1.129032,38.0,863.0,73.0,32.0,31.0,0.0
1.0,71.0,71.0,1.0,5.0,1.0,0.0,1.0,58.0,3667.0,65.0,1.0,1.0,0.0
7.0,20.0,2.0,0.2,7.0,7.0,0.666667,1.0,197.0,3877.0,376.0,7.0,7.0,1.0
76.0,2345.0,2147.0,0.405045,420.0,393.0,0.9610879999999999,5.171053,2644.0,73431.0,3557.0,76.0,76.0,0.0
88.0,1210.0,1063.0,0.14694400000000002,132.0,176.0,0.985925,2.0,2231.0,50650.0,2992.0,88.0,87.0,1.0
8.0,5349.0,5349.0,0.0,134.0,185.0,1.0,23.125,113.0,6405.0,121.0,8.0,3.0,0.0
1.0,43.0,43.0,1.0,4.0,1.0,0.0,1.0,1168.0,29751.0,1195.0,1.0,1.0,0.0
7.0,65.0,65.0,0.9523809999999999,46.0,13.0,0.5,1.857143,171.0,1752.0,182.0,7.0,7.0,0.0
17.0,97.0,1.0,0.06666699999999999,17.0,17.0,0.9375,1.0,49.0,1904.0,71.0,17.0,17.0,1.0
23.0,1054.0,1030.0,0.49090900000000004,86.0,192.0,0.8272729999999999,8.347826,301.0,10173.0,328.0,23.0,23.0,0.0
4.0,29.0,29.0,1.0,6.0,4.0,0.0,1.0,12.0,148.0,12.0,4.0,4.0,0.0
5.0,26.0,15.0,0.2,7.0,6.0,0.75,1.2,12.0,87.0,17.0,5.0,5.0,0.0
7.0,29.0,29.0,0.2,7.0,7.0,0.833333,1.0,327.0,1934.0,410.0,7.0,7.0,0.0
2.0,8.0,8.0,1.0,2.0,2.0,0.0,1.0,41.0,928.0,41.0,2.0,2.0,0.0
1.0,8.0,8.0,1.0,1.0,1.0,0.0,1.0,36.0,292.0,36.0,1.0,1.0,0.0
6.0,23.0,23.0,0.2,6.0,6.0,0.8,1.0,16.0,210.0,49.0,6.0,6.0,1.0
1.0,6.0,6.0,1.0,1.0,1.0,0.0,1.0,25.0,613.0,28.0,2.0,2.0,0.0
18.0,1097.0,1097.0,0.269231,61.0,286.0,0.882353,15.888889,277.0,7963.0,322.0,19.0,19.0,0.0
9.0,43.0,43.0,0.28571399999999997,9.0,11.0,0.875,1.222222,319.0,3615.0,375.0,9.0,9.0,0.0
8.0,47.0,17.0,0.2,8.0,8.0,0.857143,1.0,21.0,758.0,39.0,8.0,8.0,1.0
100.0,3545.0,3446.0,0.500947,212.0,481.0,0.956083,4.81,233.0,10160.0,347.0,70.0,63.0,0.0
1.0,20.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,120.0,6.0,1.0,1.0,0.0
73.0,6908.0,6908.0,0.006036,396.0,496.0,0.9444440000000001,6.7945210000000005,121.0,10893.0,123.0,73.0,73.0,1.0
7.0,91.0,49.0,0.0,7.0,7.0,1.0,1.0,40.0,1908.0,62.0,7.0,7.0,0.0
5.0,214.0,214.0,1.0,51.0,29.0,0.0,5.8,41.0,1004.0,41.0,5.0,5.0,0.0
10.0,227.0,169.0,0.11111099999999999,15.0,17.0,1.0,1.7,176.0,2771.0,208.0,10.0,10.0,0.0
68.0,1867.0,1826.0,0.219373,197.0,184.0,0.992743,2.705882,263.0,5748.0,334.0,68.0,46.0,1.0
42.0,204.0,204.0,0.024390000000000002,42.0,42.0,0.984991,1.0,426.0,5272.0,1009.0,43.0,43.0,1.0
14.0,214.0,174.0,0.076923,19.0,15.0,0.9038459999999999,1.0714290000000002,11.0,214.0,14.0,14.0,13.0,0.0
2.0,44.0,44.0,0.0,2.0,3.0,0.0,1.5,50.0,1207.0,69.0,2.0,0.0,0.0
36.0,818.0,818.0,0.0017829999999999999,38.0,118.0,0.985714,3.277778,64.0,1401.0,74.0,34.0,0.0,0.0
31.0,1881.0,1858.0,0.428571,116.0,74.0,0.9818180000000001,2.3870970000000002,332.0,4772.0,380.0,31.0,31.0,1.0
34.0,2633.0,2410.0,0.501894,219.0,442.0,0.692037,13.0,301.0,10173.0,328.0,34.0,34.0,0.0
65.0,2137.0,2127.0,0.335994,126.0,464.0,0.9454370000000001,7.138462,63.0,2137.0,65.0,65.0,57.0,1.0
69.0,2133.0,1949.0,0.47399399999999997,189.0,330.0,0.941816,4.782609,271.0,4932.0,336.0,69.0,68.0,1.0
38.0,1241.0,1241.0,0.45849799999999996,212.0,121.0,0.9226040000000001,3.184211,166.0,5176.0,173.0,38.0,38.0,0.0
29.0,1101.0,1005.0,0.471429,128.0,262.0,0.947368,9.034483,404.0,11914.0,472.0,27.0,26.0,0.0
8.0,47.0,11.0,0.14285699999999998,8.0,8.0,0.857143,1.0,26.0,817.0,116.0,9.0,9.0,1.0
12.0,131.0,17.0,0.611111,25.0,21.0,0.681818,1.75,484.0,11604.0,580.0,12.0,12.0,1.0
4.0,196.0,196.0,0.0,15.0,8.0,0.0,2.0,106.0,993.0,111.0,4.0,0.0,0.0
8.0,18.0,18.0,0.14285699999999998,8.0,8.0,0.857143,1.0,180.0,3199.0,232.0,8.0,8.0,1.0
59.0,1097.0,957.0,0.12010799999999999,96.0,203.0,0.9709049999999999,3.4406779999999997,341.0,6130.0,466.0,59.0,59.0,0.0
19.0,1268.0,1217.0,0.28571399999999997,181.0,257.0,1.0,13.526316,2196.0,69768.0,2620.0,19.0,16.0,0.0
11.0,107.0,67.0,0.418182,11.0,11.0,0.8,1.0,106.0,993.0,111.0,12.0,12.0,1.0
45.0,1065.0,1033.0,0.25243899999999997,94.0,200.0,0.9350649999999999,4.444444,839.0,16067.0,1014.0,45.0,45.0,0.0
50.0,3600.0,3405.0,0.272895,80.0,296.0,0.980867,5.92,277.0,7963.0,322.0,46.0,41.0,1.0
1.0,5.0,0.0,1.0,28.0,1.0,0.0,1.0,171.0,1752.0,182.0,2.0,2.0,0.0
1.0,27.0,27.0,1.0,888.0,1.0,0.0,1.0,1182.0,32189.0,1188.0,1.0,1.0,0.0
12.0,164.0,79.0,0.30303,13.0,21.0,0.857143,1.75,47.0,762.0,77.0,13.0,13.0,1.0
7.0,135.0,135.0,0.0,20.0,20.0,0.0,2.857143,129.0,2768.0,165.0,1.0,0.0,0.0
39.0,1699.0,1676.0,0.334454,220.0,228.0,0.966507,5.846154,75.0,2325.0,89.0,39.0,36.0,1.0
33.0,1801.0,1668.0,0.301075,145.0,182.0,0.956782,5.515152,360.0,17417.0,425.0,31.0,31.0,1.0
9.0,34.0,10.0,0.0,11.0,11.0,1.0,1.222222,64.0,1401.0,74.0,9.0,9.0,1.0
11.0,23.0,23.0,0.177778,11.0,11.0,0.85,1.0,180.0,3199.0,232.0,11.0,11.0,0.0
14.0,52.0,52.0,0.090909,14.0,14.0,0.923077,1.0,92.0,1154.0,172.0,14.0,14.0,1.0
395.0,4130.0,4124.0,0.000169,584.0,938.0,1.0,2.374684,957.0,19269.0,1001.0,394.0,8.0,0.0
7.0,44.0,44.0,0.0,8.0,9.0,0.0,1.285714,12.0,87.0,17.0,7.0,7.0,0.0
1.0,65.0,65.0,1.0,1.0,1.0,0.0,1.0,124.0,2575.0,154.0,1.0,1.0,0.0
23.0,292.0,69.0,0.044118,23.0,23.0,0.9685309999999999,1.0,5.0,475.0,43.0,23.0,23.0,1.0
12.0,56.0,1.0,0.090909,12.0,12.0,0.924242,1.0,247.0,5146.0,397.0,12.0,12.0,1.0
9.0,429.0,429.0,0.642857,75.0,50.0,0.78125,5.555556,165.0,9721.0,166.0,9.0,9.0,0.0
5.0,95.0,75.0,0.6,27.0,9.0,0.75,1.8,56.0,1645.0,81.0,5.0,5.0,0.0
21.0,335.0,121.0,0.06666699999999999,21.0,21.0,0.95,1.0,888.0,26974.0,1159.0,21.0,21.0,1.0
1.0,4.0,4.0,1.0,49.0,1.0,0.0,1.0,72.0,701.0,72.0,1.0,1.0,0.0
2.0,21.0,21.0,1.0,22.0,2.0,0.0,1.0,143.0,3130.0,157.0,2.0,2.0,0.0
1.0,65.0,65.0,1.0,1.0,1.0,0.0,1.0,124.0,2575.0,154.0,1.0,1.0,0.0
1.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0,8.0,43.0,8.0,1.0,1.0,0.0
7.0,87.0,51.0,0.0,8.0,13.0,1.0,1.857143,431.0,6490.0,667.0,7.0,7.0,1.0
6.0,107.0,55.0,0.0,6.0,7.0,1.0,1.166667,1378.0,36313.0,1878.0,6.0,6.0,0.0
12.0,131.0,17.0,0.611111,25.0,21.0,0.681818,1.75,484.0,11604.0,580.0,12.0,12.0,0.0
19.0,1268.0,1217.0,0.28571399999999997,181.0,257.0,1.0,13.526316,2196.0,69768.0,2620.0,19.0,16.0,1.0
2.0,15.0,15.0,1.0,51.0,2.0,1.0,1.0,72.0,701.0,72.0,2.0,2.0,0.0
15.0,97.0,17.0,0.089744,15.0,15.0,0.9285709999999999,1.0,21.0,758.0,39.0,15.0,15.0,0.0
1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,235.0,2888.0,235.0,1.0,1.0,0.0
10.0,22.0,22.0,0.11111099999999999,10.0,10.0,0.8888889999999999,1.0,8.0,62.0,30.0,11.0,11.0,0.0
5.0,49.0,49.0,0.1,44.0,8.0,0.75,1.6,171.0,1752.0,182.0,5.0,5.0,0.0
10.0,47.0,2.0,0.11111099999999999,10.0,10.0,0.911111,1.0,247.0,5146.0,397.0,10.0,10.0,0.0
65.0,1600.0,1489.0,0.260652,166.0,235.0,0.9263389999999999,3.615385,153.0,3146.0,195.0,10.0,14.0,0.0
1.0,35.0,35.0,1.0,52.0,5.0,0.0,5.0,72.0,701.0,72.0,1.0,1.0,0.0
14.0,178.0,108.0,0.12121199999999999,39.0,33.0,0.942308,2.357143,48.0,1803.0,162.0,14.0,14.0,1.0
22.0,161.0,44.0,0.1,22.0,23.0,0.9880950000000001,1.045455,23.0,687.0,46.0,22.0,22.0,1.0
64.0,1371.0,1286.0,0.088627,241.0,247.0,0.9658120000000001,3.859375,280.0,7044.0,294.0,64.0,63.0,1.0
7.0,272.0,96.0,0.6,21.0,25.0,0.8888889999999999,3.571429,214.0,2913.0,322.0,7.0,7.0,0.0
10.0,2084.0,2043.0,0.277778,237.0,508.0,0.8444440000000001,50.8,2196.0,69768.0,2620.0,10.0,6.0,1.0
25.0,596.0,576.0,0.181159,43.0,69.0,0.9702379999999999,2.76,400.0,12877.0,545.0,25.0,25.0,0.0
