ATFD_method,FDP_method,MAXNESTING_method,LOC_method,CYCLO_method,NOLV_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,CINT_method,CDISP_method,NOM_type,ATFD_type,FANOUT_type,NOMNAMM_type,NIM_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,LOC_package,NOM_package,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,number_public_visibility_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_standard_design_methods,is_feature_envy
0.0,0.0,10.0,245.0,86.0,34.0,40.0,1.0,2.0,2.0,2.0,1.0,22.0,1.0,7.0,22.0,0.0,755.0,755.0,13.0,1.0,3.0,35.0,238.0,0.9650790000000001,0.166667,238.0,10.818182,10.818182,118.0,753.0,11909.0,780.0,2023.0,119.0,17693.0,16365.0,199533.0,3.0,22.0,0.0,22.0,0.0
0.0,0.0,1.0,11.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,8.0,7.0,18.0,0.0,510.0,440.0,9.0,0.785714,10.0,38.0,43.0,0.779221,0.7391300000000001,38.0,1.8695650000000001,2.111111,16.0,299.0,7166.0,371.0,1171.0,66.0,10384.0,8750.0,312068.0,22.0,23.0,23.0,16.0,0.0
0.0,0.0,3.0,30.0,3.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,24.0,0.0,518.0,390.0,1.0,0.26108400000000004,1.0,31.0,55.0,0.9373040000000001,0.8,42.0,1.833333,1.75,3.0,28.0,619.0,34.0,56.0,5.0,502.0,445.0,10835.0,30.0,30.0,30.0,23.0,0.0
0.0,0.0,5.0,161.0,30.0,21.0,20.0,0.0,1.0,4.0,4.0,0.25,8.0,0.0,3.0,8.0,0.0,426.0,426.0,6.0,0.75,3.0,14.0,55.0,0.828571,0.857143,55.0,6.875,6.875,22.0,203.0,6452.0,240.0,2045.0,148.0,17321.0,12962.0,390008.0,7.0,9.0,8.0,8.0,0.0
4.0,4.0,8.0,244.0,50.0,32.0,33.0,0.333333,10.0,6.0,10.0,1.0,30.0,11.0,23.0,24.0,0.0,1323.0,815.0,29.0,0.636842,27.0,69.0,316.0,0.896552,0.535714,202.0,10.533333,8.416667,7.0,78.0,4403.0,88.0,110.0,25.0,1199.0,951.0,31037.0,20.0,30.0,30.0,23.0,1.0
12.0,4.0,7.0,115.0,26.0,33.0,54.0,0.294118,17.0,40.0,45.0,0.377778,175.0,80.0,44.0,125.0,0.0,3107.0,2282.0,119.0,0.610066,54.0,348.0,384.0,0.950944,0.617143,305.0,2.194286,2.44,245.0,2644.0,73431.0,3557.0,497.0,38.0,5768.0,4374.0,117757.0,158.0,174.0,170.0,124.0,1.0
0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,11.0,15.0,15.0,0.0,0.0,4.0,21.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,44.0,5.0,58.0,2.0,541.0,326.0,7842.0,3.0,3.0,3.0,2.0,0.0
2.0,1.0,2.0,21.0,2.0,3.0,10.0,0.666667,4.0,3.0,5.0,0.8,11.0,8.0,15.0,11.0,50.0,323.0,323.0,29.0,0.22222199999999998,26.0,137.0,49.0,0.96,0.875,49.0,4.4545449999999995,4.4545449999999995,4.0,16.0,323.0,16.0,118.0,11.0,1092.0,888.0,14175.0,7.0,11.0,11.0,10.0,0.0
2.0,1.0,3.0,32.0,6.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,34.0,34.0,1.0,1.0,3.0,2.0,6.0,0.0,-1.0,6.0,6.0,6.0,7.0,34.0,713.0,36.0,66.0,10.0,629.0,479.0,11929.0,1.0,2.0,2.0,1.0,0.0
2.0,2.0,8.0,125.0,20.0,21.0,32.0,0.75,4.0,10.0,11.0,0.363636,55.0,10.0,24.0,53.0,69.0,1315.0,1302.0,82.0,0.574879,39.0,226.0,163.0,0.899782,0.935484,161.0,2.963636,3.037736,248.0,1771.0,32688.0,2040.0,1908.0,124.0,12486.0,11008.0,214819.0,31.0,47.0,44.0,50.0,0.0
0.0,0.0,3.0,91.0,17.0,18.0,19.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,283.0,283.0,0.0,1.0,0.0,7.0,31.0,1.0,1.0,31.0,4.428571,4.428571,6.0,64.0,1401.0,74.0,567.0,75.0,5715.0,3996.0,78591.0,7.0,7.0,0.0,7.0,0.0
10.0,2.0,3.0,28.0,5.0,4.0,18.0,0.28571399999999997,1.0,1.0,1.0,1.0,3.0,15.0,2.0,3.0,21.0,109.0,109.0,4.0,1.0,8.0,30.0,17.0,0.5,1.0,17.0,5.6666669999999995,5.6666669999999995,36.0,190.0,3053.0,210.0,1542.0,130.0,11967.0,9063.0,213479.0,2.0,3.0,3.0,2.0,0.0
0.0,0.0,2.0,49.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,40.0,14.0,12.0,38.0,0.0,1127.0,1100.0,34.0,0.42674300000000004,11.0,88.0,164.0,0.9638690000000001,0.727273,162.0,4.1,4.263158,3.0,46.0,1238.0,49.0,280.0,36.0,2923.0,2438.0,52319.0,17.0,40.0,40.0,37.0,0.0
