NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_long_parameters_list
0,0,0,0,0,2,8,2,0,0,0,6,1,0,2,3,0,0,0,0,7,2,16,-1,2,3,9,12,-1,4,221,172,406,0.177777778,1,9,34,1,29,0.961111111,-1,18,1.8125,2,6,9,0,229,16,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3,1,0,0,3,1,0,1,16,16,0,1,0,0,3,0,3,0.5,1,3,1,1,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,2,1,0,1,0,1,0,1,3,0,1,0,1,1,29,18,123,17,50,138,94,108,77,2,1957,1669,51801,0.012612613,87,145,571,0,273,0.992106861,0.404145078,234,2.219512195,2.489361702,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
0,5,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,21,0,92,-1,0,0,71,5,-1,-1,288,206,0,0,5,15,92,0,92,1.010989011,0,71,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,0,1,1,0,1,3,1,0,1,0,2,0,1,0,0,1,0,1,1,0,0,3,0,1,1,3,0,0,1,12,12,0,0,0,1,4,0,3,0,1,3,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,4,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,-1,0,0,18,0,-1,-1,40,40,0,0,0,2,18,0,18,0,0,18,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,10,12,8,2,15,2,132,132,386,0.476190476,0,14,45,0,21,0.785714286,1,21,2.625,2.625,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,4,1,0,1,31,31,16,0,0,2,6,0,4,1,1,4,1,1,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
2,2,0,0,2,2,13,2,0,4,0,7,1,1,4,3,2,0,0.5,0,0,0,3,0,1,1,3,3,0,1,33,33,20,1,3,2,5,0,5,1.166666667,0.5,5,1.666666667,1.666666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
2,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,5,-1,0,0,2,0,-1,-1,7,-2,0,0,0,0,5,0,5,0,0,2,1,1,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,1,1,1,2,1,1,0,1,0,2,0,17,0,2,4,15,6,0,1,235,220,346,0.090909091,0,4,32,0,59,0.916666667,0.777777778,56,3.470588235,3.733333333,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,2,0,17,0,2,4,15,6,0,1,235,220,346,0.090909091,0,4,32,0,59,0.916666667,0.777777778,56,3.470588235,3.733333333,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,2,3,8,0,65,3,128,128,117,0,0,14,65,0,18,0,1,18,2.25,2.25,8,28,0,396,32,43,849,78,5788,4778,65687,FALSE
0,2,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,4,0,0,1,23,18,0,0,0,1,5,0,5,0,0.8,4,1,1,30,76,2,1343,128,43,849,78,5788,4778,65687,FALSE
0,2,1,1,2,1,5,1,0,2,0,5,0.333333333,3,4,1,3,0,1,0,2,13,9,1,7,24,7,31,538,6,628,613,620,0,0,14,51,0,23,1.044354839,0.666666667,21,2.555555556,3,23,60,1,1234,72,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,4,1,0,3,0,4,1,0,1,1,0,0,0,0,0,0,8,1,0,6,8,2,99,3,44,44,94,0.133333333,0,34,196,0,9,0.857142857,1,9,1.125,1.125,16,76,0,921,92,43,849,78,5788,4778,65687,FALSE
4,0,4,3,0,4,51,8,0,16,0,24,0.555555556,11,20,5,14,0,0.785714286,1,0,6,18,0,11,31,18,14,0,1,399,399,2090,0.857142857,0,30,81,0,45,0.903361345,1,45,2.5,2.5,57,132,1,2362,136,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,1,4,1,0,3,0,5,0,2,2,0,2,0,1,0,0,0,6,0,3,4,6,0,5,2,42,42,57,0,0,12,24,0,7,0,1,7,1.166666667,1.166666667,57,132,1,2362,136,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,4,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,9,1,1,7,9,1,99,3,72,72,126,0,0,34,198,0,12,1,1,12,1.333333333,1.333333333,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,23,6,0,5,0,5,0,1,2,0,1,0,1,0,0,0,5,2,0,3,5,0,42,4,66,66,61,0,0,11,60,0,18,0,1,18,3.6,3.6,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
3,0,2,1,0,2,12,4,0,3,0,8,0.5,1,3,2,2,0,0.5,0,8,0,30,12,4,10,22,8,111,3,377,310,1214,0.057142857,0,32,208,0,61,0.943965517,0.681818182,51,2.033333333,2.318181818,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,5,1,0,3,0,4,1,1,2,1,1,0,1,1,29,18,123,17,50,138,94,108,77,2,1957,1669,51801,0.012612613,87,145,571,0,273,0.992106861,0.404145078,234,2.219512195,2.489361702,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
4,1,0,0,1,2,6,2,0,6,0,7,1,0,1,1,0,0,0,1,0,0,7,0,0,0,7,1,0,1,44,44,35,1,0,3,12,0,13,0,1,13,1.857142857,1.857142857,78,182,2,3615,233,43,849,78,5788,4778,65687,TRUE
3,0,0,0,0,2,11,3,0,6,0,6,0,0,0,0,0,0,0,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,23,5,0,6,0,8,1,0,0,2,0,0,0,0,7,0,90,1,0,1,83,18,0,1,2829,2637,54,0.042455536,4,1,91,1,252,0.971910112,0.845070423,242,2.8,2.915662651,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,30,7,0,7,0,8,1,0,0,2,0,0,0,0,7,0,90,1,0,1,83,18,0,1,2829,2637,54,0.042455536,4,1,91,1,252,0.971910112,0.845070423,242,2.8,2.915662651,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,2,20,3,0,10,0,11,0.5,2,2,1,2,0,1,1,0,2,9,0,2,10,9,2,15,2,158,158,346,0.666666667,0,10,36,0,24,0.6875,1,24,2.666666667,2.666666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,20,1,63,-1,0,0,43,4,-1,-1,192,119,0,0,4,11,63,0,63,1.016129032,0,43,1,1,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,28,4,0,8,0,9,1,0,0,1,0,0,0,1,1,0,9,0,3,9,8,2,15,2,118,101,280,0.4,0,10,31,0,22,0.75,0.857142857,19,2.444444444,2.375,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,2,1,0,1,4,1,0,3,0,5,0,2,2,0,3,0,0.666666667,1,0,0,9,0,5,9,9,4,17,3,77,77,152,0.166666667,0,12,30,0,12,0.9375,1,12,1.333333333,1.333333333,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,3,90,5,0,7,0,16,0.9,3,6,9,3,0,1,0,1,5,15,1,0,4,14,13,538,6,573,568,94,0.095238095,1,1,21,0,40,0.972527473,0.888888889,39,2.666666667,2.785714286,18,37,0,2462,40,43,849,78,5788,4778,65687,FALSE
3,1,0,0,1,3,20,1,0,3,0,5,1,1,3,3,1,0,1,1,6,1,10,0,0,2,4,7,6,2,90,58,53,0.222222222,0,2,19,0,13,0.920634921,0.4,7,1.3,1.75,18,37,0,2462,40,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,26,11,0,7,0,7,0,0,0,0,0,0,0,1,27,0,98,4,14,21,71,23,516,4,1350,995,9678,0.071103983,4,23,185,0,277,0.980277902,0.6,203,2.826530612,2.85915493,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,1,4,1,0,4,0,3,0,2,2,0,2,0,1,0,0,0,5,0,2,4,5,1,17,2,51,51,71,0,0,6,33,0,7,1,1,7,1.4,1.4,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,3,27,4,0,10,0,12,0.5,3,12,1,7,0,0.428571429,0,0,0,5,0,3,5,5,3,17,2,90,90,116,0,0,7,39,0,10,1.083333333,1,10,2,2,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,-1,-1,3,3,0,1,0,0,1,0,1,0,0,1,1,1,3,12,0,237,12,43,849,78,5788,4778,65687,FALSE
7,0,3,1,0,1,29,4,0,9,0,14,0.428571429,1,0,3,1,0,1,0,0,0,2,0,5,2,2,3,576,6,37,37,2,1,0,2,5,0,5,1,1,5,2.5,2.5,57,132,1,2362,136,43,849,78,5788,4778,65687,TRUE
7,0,0,0,0,1,19,2,0,15,0,15,0,0,0,0,0,0,0,0,2,0,14,0,2,5,12,4,0,1,153,139,166,0.109090909,0,5,23,0,23,0.923076923,0.857142857,20,1.642857143,1.666666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
8,0,0,0,0,1,10,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,150,150,0,1,0,0,6,0,22,0,1,22,3.666666667,3.666666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
10,0,0,0,0,1,11,1,0,13,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,150,150,0,1,0,0,6,0,22,0,1,22,3.666666667,3.666666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
7,4,0,0,4,1,10,1,0,7,0,14,1,0,0,7,0,0,0,0,1,5,4,0,1,4,3,12,0,1,157,149,48,1,2,3,13,0,10,0.833333333,0.4,9,2.5,3,30,76,2,1343,128,43,849,78,5788,4778,65687,TRUE
0,0,0,0,0,2,20,5,0,1,0,7,1,3,16,6,8,0,0.375,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,0,0,0,2,7,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
2,0,0,0,0,1,3,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
0,1,0,0,13,1,3,1,0,0,0,1,1,0,0,1,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191666667,0,3,34,0,174,0.7771261,0.578947368,166,5.4375,6.916666667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,1,2,1,1,2,7,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923076923,251,10.45833333,10.45833333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
1,1,0,0,1,2,22,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923076923,251,10.45833333,10.45833333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
0,1,0,0,0,2,17,3,0,6,0,7,1,0,0,1,0,0,0,0,0,0,5,0,14,1,5,1,0,1,174,174,10,0.1,0,1,6,0,45,0.75,1,45,9,9,5,33,0,943,34,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,14,1,5,1,0,1,174,174,10,0.1,0,1,6,0,45,0.75,1,45,9,9,5,33,0,943,34,4,48,1,245,233,6694,FALSE
