NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_switch_statements
1,2,0,0,2,1,5,1,0,1,0,1,0,1,4,0,2,0,0.5,0,2,0,7,-1,1,3,5,2,-1,3,53,39,55,0.1,0,4,13,2,8,0.916666667,-1,6,1.142857143,1.2,7,47,3,439,53,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,2,6,3,0,0,0,1,1,0,1,1,0,0,0,0,8,0,30,12,4,10,22,8,111,3,377,310,1214,0.057142857,0,32,208,0,61,0.943965517,0.681818182,51,2.033333333,2.318181818,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
2,0,0,0,0,1,3,1,0,2,0,1,0,1,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,3,3,4,1,0,3,2,-1,1,0,-1,1,1,1,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,2,3,1,0,0,0,0,0,1,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,5,5,4,1,0,1,2,-1,1,0,-1,1,1,1,18,102,0,1212,120,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,3,1,0,0,0,6,0,0,0,0,0,0,0,0,2,1,16,0,7,10,14,6,8,3,197,179,640,0.305555556,0,10,41,0,31,0.855555556,1,28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,FALSE
1,1,0,0,1,1,3,1,0,1,0,2,1,0,0,1,0,0,0,1,1,0,5,0,3,6,4,2,0,1,66,44,77,0.5,0,9,18,0,10,0.75,0.75,8,2,2,17,82,1,906,90,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,1,5,2,0,0,0,1,1,0,0,1,0,0,0,1,57,1,129,-1,22,25,72,44,-1,1,1243,834,11362,0.028635682,5,28,207,4,269,0.985973011,-1,178,2.085271318,2.472222222,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
2,1,0,0,1,1,3,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,9,9,3,1,0,3,6,0,1,0,1,1,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,68,-1,0,0,64,1,-1,-1,225,202,0,0,1,13,68,0,68,1.014925373,0,64,1,1,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,2,8,2,0,2,0,1,0,0,0,0,0,0,0,0,0,13,71,0,4,14,71,5,0,1,1327,1327,1192,0.000426257,2,8,96,0,186,1,0.971830986,186,2.61971831,2.61971831,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,-1,0,0,1,0,-1,-1,19,4,0,0,0,0,4,0,4,0,0,1,1,1,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,1,3,1,0,1,0,3,1,0,0,3,0,0,0,1,0,0,9,0,5,9,9,4,17,3,77,77,152,0.166666667,0,12,30,0,12,0.9375,1,12,1.333333333,1.333333333,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,2,0,-1,-1,6,6,0,0,0,0,2,0,2,0,0,2,1,1,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
0,1,0,0,1,1,3,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,12,1,1,1,10,4,5,2,86,74,80,0.527272727,1,4,22,0,20,0.818181818,0.769230769,18,1.666666667,1.8,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
0,0,-1,-1,0,0,1,1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,1,11,-1,0,0,11,0,-1,-1,83,83,0,0,0,6,11,0,11,0,0,11,1,1,18,108,8,1339,136,43,849,78,5788,4778,65687,FALSE
0,4,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,3,0,-1,-1,6,6,0,0,0,0,3,0,3,0,0,3,1,1,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
1,2,0,0,2,1,4,1,0,1,0,2,1,0,0,1,0,0,0,1,2,0,5,0,0,1,3,1,0,1,27,17,6,0,0,1,6,0,5,1,0.6,3,1,1,30,76,2,1343,128,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,2,18,1,0,0,0,2,1,2,4,1,2,0,1,0,7,4,14,0,0,2,7,14,539,6,271,114,108,0,2,2,16,0,26,0.934065934,0.333333333,13,1.857142857,1.857142857,10,35,0,646,47,43,849,78,5788,4778,65687,FALSE
1,1,0,0,1,3,18,4,0,2,0,6,1,2,8,4,4,0,0.5,0,2,4,12,0,2,12,10,12,536,6,239,227,358,0.416666667,0,13,37,0,20,0.931818182,1,18,1.666666667,1.8,23,60,1,1234,72,43,849,78,5788,4778,65687,FALSE
1,0,0,0,0,5,23,2,0,3,0,3,1,1,2,1,1,0,1,1,0,1,2,0,3,7,2,1,0,1,51,51,30,1,0,6,12,0,8,0,1,8,4,4,18,102,0,1212,120,43,849,78,5788,4778,65687,FALSE
0,0,0,0,0,4,14,4,0,2,0,6,1,3,8,4,4,0,0.75,0,3,0,14,1,1,3,11,2,27,3,95,77,140,0,0,7,41,0,23,0.846153846,0.8,18,1.642857143,1.636363636,18,102,0,1212,120,43,849,78,5788,4778,65687,FALSE
1,0,3,2,0,4,41,4,1,8,2,22,0.5,6,10,3,12,2,0.5,0,2,1,16,0,7,10,14,6,8,3,197,179,640,0.305555556,0,10,41,0,31,0.855555556,1,28,1.9375,2,4,27,0,516,29,43,849,78,5788,4778,65687,TRUE
1,1,2,2,1,4,47,7,0,8,0,25,0.666666667,4,8,4,7,0,0.571428571,0,9,0,23,-1,53,26,14,31,-1,2,530,314,897,0.169590643,15,27,108,2,138,0.942815249,-1,68,6,4.857142857,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
0,1,0,0,1,4,25,5,0,6,0,7,1,1,2,1,1,0,1,1,14,7,99,-1,18,29,85,10,-1,1,1186,1081,13341,0.013955617,0,29,216,2,191,0.976530612,-1,173,1.929292929,2.035294118,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
0,9,1,1,11,5,32,8,0,4,0,8,1,2,8,3,4,0,0.5,2,5,0,19,1,1,2,14,12,0,1,208,114,184,0.1,2,2,25,0,37,0.976851852,0.705882353,22,1.947368421,1.571428571,34,523,11,6037,728,43,849,78,5788,4778,65687,FALSE
1,0,2,1,0,4,43,5,0,10,0,13,0.333333333,2,4,1,2,0,1,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054054,34,23,104,0,115,0.994877857,0.402777778,105,2.395833333,2.692307692,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
